Start Time,End Time,Packet Count,Packets/sec,Bytes/sec,Bits/sec,Average Packet Size,duration
1742970408.768495,1742970410.001576,382,309.79,"2,843,622.1033876035",22748976.83,9179.10,1233.081
1742970410.001576,1742970411.228773,405,330.02,"3,062,247.93462591",24497983.48,9278.97,1227.197
1742970411.228773,1742970412.453835,467,381.21,"3,545,530.2488606116",28364241.99,9300.84,1225.062
1742970412.453835,1742970413.693249,505,407.45,"3,786,323.285308645",30290586.28,9292.72,1239.414
1742970413.693249,1742970414.932084,469,378.58,"3,521,803.678973898",28174429.43,9302.63,1238.835
1742970414.932084,1742970416.155308,465,380.14,"3,527,914.9737699865",28223319.79,9280.49,1223.224
1742970416.155308,1742970417.388651,506,410.27,"3,808,264.5575904963",30466116.46,9282.40,1233.343
1742970417.388651,1742970418.62876,510,411.25,"3,837,226.5763934483",30697812.61,9330.55,1240.109
1742970418.62876,1742970419.868348,478,385.61,"3,613,088.204388053",28904705.64,9369.75,1239.588
1742970419.868348,1742970421.09573,526,428.55,"3,996,434.0917114834",31971472.73,9325.38,1227.382
1742970421.09573,1742970422.347746,498,397.76,"3,699,301.4723943532",29594411.78,9300.37,1252.016
1742970422.347746,1742970423.585467,484,391.04,"3,604,188.0698596654",28833504.56,9216.90,1237.721
1742970423.585467,1742970424.816537,559,454.08,"4,233,106.836260267",33864854.69,9322.45,1231.070
1742970424.816537,1742970426.048802,480,389.53,"3,633,225.0092936163",29065800.07,9327.28,1232.265
1742970426.048802,1742970427.322835,509,399.52,"3,734,033.372818218",29872266.98,9346.33,1274.033
1742970427.322835,1742970428.55076,481,391.72,"3,650,328.6218817537",29202628.98,9318.77,1227.925
1742970428.55076,1742970429.799731,482,385.92,"3,593,655.9395070863",28749247.52,9311.98,1248.971
1742970429.799731,1742970431.028464,455,370.30,"3,450,046.335151581",27600370.68,9316.89,1228.733
1742970431.028464,1742970432.268918,417,336.17,"3,121,552.374782931",24972419.00,9285.71,1240.454
1742970432.268918,1742970433.504656,431,348.78,"3,249,942.846459264",25999542.77,9318.05,1235.738
1742970433.504656,1742970434.738236,434,351.82,"3,257,164.034984864",26057312.28,9258.00,1233.580
1742970434.738236,1742970435.986285,405,324.51,"2,966,894.6799251228",23735157.44,9142.79,1248.049
1742970435.986285,1742970437.238029,386,308.37,"2,852,295.6043682187",22818364.83,9249.60,1251.744
1742970437.238029,1742970438.490486,345,275.46,"2,543,198.086262715",20345584.69,9232.60,1252.457
1742970438.490486,1742970439.71979,316,257.06,"2,367,863.296498984",18942906.37,9211.47,1229.304
1742970439.71979,1742970440.975656,301,239.68,"2,208,214.7999857236",17665718.40,9213.36,1255.866
1742970440.975656,1742970442.253601,288,225.36,"2,087,056.8866895891",16696455.09,9260.92,1277.945
1742970442.253601,1742970443.537257,301,234.49,"2,155,423.458149944",17243387.67,9192.10,1283.656
1742970443.537257,1742970444.760517,274,223.99,"2,062,740.6708043544",16501925.37,9209.01,1223.260
1742970444.760517,1742970446.007519,275,220.53,"2,031,048.6643588347",16248389.31,9209.90,1247.002
1742970446.007519,1742970447.234711,274,223.27,"2,016,082.3661723153",16128658.93,9029.64,1227.192
1742970447.234711,1742970448.482665,279,223.57,"2,055,237.3985452494",16441899.19,9192.98,1247.954
1742970448.482665,1742970449.7084,286,233.33,"2,145,064.0710742148",17160512.57,9193.29,1225.735
1742970449.7084,1742970450.983256,305,239.24,"2,205,991.7357388088",17647933.89,9220.73,1274.856
1742970450.983256,1742970452.237897,315,251.07,"2,313,492.40291315",18507939.22,9214.61,1254.641
1742970452.237897,1742970453.467497,301,244.80,"2,253,332.4409168568",18026659.53,9204.98,1229.600
1742970453.467497,1742970454.7328,302,238.68,"2,196,248.8252320257",17569990.60,9201.72,1265.303
1742970454.7328,1742970455.97885,343,275.27,"2,547,703.786544699",20381630.29,9255.29,1246.050
1742970455.97885,1742970457.214299,342,276.82,"2,562,909.3600712796",20503274.88,9258.32,1235.449
1742970457.214299,1742970458.438566,358,292.42,"2,708,546.406922913",21668371.26,9262.53,1224.267
1742970458.438566,1742970459.669963,385,312.65,"2,905,995.589794327",23247964.72,9294.63,1231.397
1742970459.669963,1742970460.898029,405,329.79,"3,014,070.3994464637",24112563.20,9139.45,1228.066
1742970460.898029,1742970462.123305,427,348.49,"3,237,819.0885487567",25902552.71,9290.92,1225.276
1742970462.123305,1742970463.359563,440,355.91,"3,308,105.50949946",26464844.08,9294.71,1236.258
1742970463.359563,1742970464.589692,469,381.26,"3,546,728.828845235",28373830.63,9302.63,1230.129
1742970464.589692,1742970465.815226,457,372.90,"3,451,499.6159184105",27611996.93,9255.86,1225.534
1742970465.815226,1742970467.040676,480,391.69,"3,660,085.5665970803",29280684.53,9344.27,1225.450
1742970467.040676,1742970468.284889,497,399.45,"3,725,164.822910022",29801318.58,9325.75,1244.213
1742970468.284889,1742970469.513565,484,393.92,"3,663,966.5007733665",29311732.01,9301.30,1228.676
1742970469.513565,1742970470.758833,460,369.40,"3,435,887.257516324",27487098.06,9301.30,1245.268
1742970470.758833,1742970472.039124,508,396.78,"3,693,544.4385397946",29548355.51,9308.69,1280.291
1742970472.039124,1742970473.270192,567,460.58,"4,295,144.092097702",34361152.74,9325.60,1231.068
1742970473.270192,1742970474.50013,529,430.10,"4,020,181.406231839",32161451.25,9347.02,1229.938
1742970474.50013,1742970475.723543,344,281.18,"2,614,897.8510595425",20919182.81,9299.71,1223.413
1742970475.723543,1742970476.977731,101,80.53,"718,094.8600753624",5744758.88,8917.09,1254.188
1742970476.977731,1742970478.270077,131,101.37,"964,396.5310779907",7715172.25,9514.00,1292.346
1742970478.270077,1742970479.603382,23,17.25,"132,448.30255957894",1059586.42,7678.00,1333.305
1742970479.603382,1742970480.965136,52,38.19,"349,425.82930697297",2795406.63,9150.62,1361.754
1742970480.965136,1742970482.403841,14,9.73,"77,655.94929044742",621247.59,7980.29,1438.705
1742970482.403841,1742970483.772114,33,24.12,"206,229.30944233207",1649834.48,8550.85,1368.273
1742970483.772114,1742970485.040313,27,21.29,"202,553.39003446375",1620427.12,9514.00,1268.199
1742970485.040313,1742970486.682125,19,11.57,"100,692.40042699527",805539.20,8700.95,1641.812
1742970486.682125,1742970487.982769,36,27.68,"231,239.30782857613",1849914.46,8354.44,1300.644
1742970487.982769,1742970489.364679,30,21.71,"167,449.3893620094",1339595.11,7713.33,1381.910
1742970489.364679,1742970490.622964,34,27.02,"254,457.49496980556",2035659.96,9417.06,1258.285
1742970490.622964,1742970491.876649,18,14.36,"90,817.07145074032",726536.57,6325.33,1253.685
1742970491.876649,1742970493.100096,59,48.22,"458,806.9293270264",3670455.43,9514.00,1223.447
1742970493.100096,1742970494.489997,12,8.63,"68,600.57320461015",548804.59,7945.67,1389.901
1742970494.489997,1742970495.715074,97,79.18,"714,751.7186082837",5718013.75,9027.07,1225.077
1742970495.715074,1742970497.317055,61,38.08,"359,451.2213942295",2875609.77,9439.90,1601.981
1742970497.317055,1742970498.551493,46,37.26,"305,826.6333210239",2446613.07,8207.04,1234.438
1742970498.551493,1742970499.789641,45,36.34,"334,866.275034762",2678930.20,9213.64,1238.148
