Start Time,End Time,Packet Count,Packets/sec,Bytes/sec,Bits/sec,Average Packet Size,duration
1742995808.274866,1742995809.159041,200,226.20,"2,095,933.915102017",16767471.32,9265.86,884.175
1742995809.159041,1742995810.033136,197,225.38,"2,122,055.4726426676",16976443.78,9415.62,874.095
1742995810.033136,1742995810.909426,197,224.81,"2,116,739.6917179963",16933917.53,9415.62,876.290
1742995810.909426,1742995811.781598,196,224.73,"2,117,306.8520672307",16938454.82,9421.71,872.172
1742995811.781598,1742995812.657031,197,225.03,"2,118,812.139256916",16950497.11,9415.62,875.433
1742995812.657031,1742995813.530186,196,224.47,"2,114,923.7612075764",16919390.09,9421.71,873.155
1742995813.530186,1742995814.405066,196,224.03,"2,110,753.2927186796",16886026.34,9421.71,874.880
1742995814.405066,1742995815.285231,198,224.96,"2,116,761.9572660686",16934095.66,9409.60,880.165
1742995815.285231,1742995816.153751,197,226.82,"2,135,677.317044193",17085418.54,9415.62,868.520
1742995816.153751,1742995817.02945,196,223.82,"2,108,779.2823160035",16870234.26,9421.71,875.699
1742995817.02945,1742995817.902291,197,225.70,"2,125,103.8224422494",17000830.58,9415.62,872.841
1742995817.902291,1742995818.776513,197,225.34,"2,121,747.010205487",16973976.08,9415.62,874.222
1742995818.776513,1742995819.646925,144,165.44,"1,562,111.0446557605",12496888.36,9442.22,870.412
1742995819.646925,1742995820.548697,243,269.47,"2,560,330.042449236",20482640.34,9501.37,901.772
1742995820.548697,1742995821.400141,198,232.55,"2,197,744.052325049",17581952.42,9450.79,851.444
1742995821.400141,1742995822.274329,197,225.35,"2,121,829.7596177394",16974638.08,9415.62,874.188
1742995822.274329,1742995823.149398,197,225.13,"2,121,169.530736674",16969356.25,9422.18,875.069
1742995823.149398,1742995824.006423,197,229.86,"2,162,814.618986191",17302516.95,9409.07,857.025
1742995824.006423,1742995824.898139,198,222.04,"2,089,342.3386579284",16714738.71,9409.60,891.716
1742995824.898139,1742995825.772659,197,225.27,"2,121,023.9508833555",16968191.61,9415.62,874.520
1742995825.772659,1742995826.624239,183,214.89,"2,023,267.5651238807",16186140.52,9415.16,851.580
1742995826.624239,1742995827.523504,211,234.64,"2,209,339.7247429667",17674717.80,9416.03,899.265
1742995827.523504,1742995828.394796,197,226.10,"2,128,882.4691649633",17031059.75,9415.62,871.292
1742995828.394796,1742995829.241136,184,217.41,"2,057,721.0468081655",16461768.37,9464.85,846.340
1742995829.241136,1742995830.108513,202,232.89,"2,196,779.377413626",17574235.02,9432.85,867.377
1742995830.108513,1742995831.047279,55,58.59,"557,402.0910590027",4459216.73,9514.00,938.766
1742995831.047279,1742995831.904339,94,109.68,"1,043,469.2991748293",8347754.39,9514.00,857.060
1742995831.904339,1742995832.869036,61,63.23,"601,592.0747045646",4812736.60,9514.00,964.697
1742995832.869036,1742995833.717457,48,56.58,"538,261.0141608797",4306088.11,9514.00,848.421
1742995833.717457,1742995834.588503,60,68.88,"655,350.1339863816",5242801.07,9514.00,871.046
1742995834.588503,1742995835.520435,96,103.01,"980,054.1169149564",7840432.94,9514.00,931.932
1742995835.520435,1742995836.374906,50,58.52,"556,718.7390535088",4453749.91,9514.00,854.471
1742995836.374906,1742995837.321218,44,46.50,"442,365.754440279",3538926.04,9514.00,946.312
1742995837.321218,1742995838.212864,90,100.94,"960,313.945228585",7682511.56,9514.00,891.646
1742995838.212864,1742995839.414665,124,103.18,"981,640.0048770821",7853120.04,9514.00,1201.801
1742995839.414665,1742995840.367099,104,109.19,"1,038,870.8662175159",8310966.93,9514.00,952.434
1742995840.367099,1742995841.532922,117,100.36,"954,808.7629375011",7638470.10,9514.00,1165.823
1742995841.532922,1742995842.402308,59,67.86,"645,658.0015088569",5165264.01,9514.00,869.386
1742995842.402308,1742995843.339913,43,45.86,"436,326.6426811778",3490613.14,9514.00,937.605
1742995843.339913,1742995844.257214,115,125.37,"1,192,748.931611669",9541991.45,9514.00,917.301
1742995844.257214,1742995845.167552,45,49.43,"470,297.8841841542",3762383.07,9514.00,910.338
1742995845.167552,1742995846.013671,91,107.55,"1,023,229.6812786006",8185837.45,9514.00,846.119
1742995846.013671,1742995846.979377,58,60.06,"571,407.7961043979",4571262.37,9514.00,965.706
1742995846.979377,1742995847.828028,46,54.20,"515,693.77153420425",4125550.17,9514.00,848.651
1742995847.828028,1742995848.675171,60,70.83,"673,841.4222097138",5390731.38,9514.00,847.143
1742995848.675171,1742995849.693204,77,75.64,"719,601.4079148653",5756811.26,9514.00,1018.033
1742995849.693204,1742995850.584553,67,75.17,"715,138.4528098702",5721107.62,9514.00,891.349
1742995850.584553,1742995851.469005,89,100.63,"957,367.8389437741",7658942.71,9514.00,884.452
1742995851.469005,1742995852.325408,66,77.07,"733,210.9910752018",5865687.93,9514.00,856.403
1742995852.325408,1742995853.45037,68,60.45,"575,087.8228869627",4600702.58,9514.00,1124.962
1742995853.45037,1742995854.629986,74,62.73,"596,834.9151446702",4774679.32,9514.00,1179.616
1742995854.629986,1742995855.484587,113,132.23,"1,257,993.0491343734",10063944.39,9514.00,854.601
1742995855.484587,1742995856.401923,86,93.75,"891,934.919717454",7135479.36,9514.00,917.336
1742995856.401923,1742995857.252675,70,82.28,"782,813.2167553687",6262505.73,9514.00,850.752
1742995857.252675,1742995858.428548,55,46.77,"445,005.52499012055",3560044.20,9514.00,1175.873
1742995858.428548,1742995859.517459,40,36.73,"349,486.83921061",2795894.71,9514.00,1088.911
1742995859.517459,1742995860.361672,55,65.15,"619,831.7184117195",4958653.75,9514.00,844.213
1742995860.361672,1742995861.210492,75,88.36,"840,637.6196453635",6725100.96,9514.00,848.820
1742995861.210492,1742995862.110765,20,22.22,"211,358.09039096467",1690864.72,9514.00,900.273
1742995862.110765,1742995862.957855,94,110.97,"1,055,750.857403405",8446006.86,9514.00,847.090
1742995862.957855,1742995864.001156,71,68.05,"647,458.3381915857",5179666.71,9514.00,1043.301
1742995864.001156,1742995864.960623,80,83.38,"793,273.8199376984",6346190.56,9514.00,959.467
1742995864.960623,1742995866.243212,16,12.47,"118,684.94497996866",949479.56,9514.00,1282.589
1742995866.243212,1742995867.087275,429,508.26,"4,835,546.385989492",38684371.09,9514.00,844.063
1742995867.087275,1742995867.932142,834,987.14,"9,391,627.420789253",75133019.37,9514.00,844.867
