DNS.aa,DNS.ad,DNS.an,DNS.ancount,DNS.ar,DNS.arcount,DNS.cd,DNS.id,DNS.length,DNS.ns,DNS.nscount,DNS.opcode,DNS.qd,DNS.qdcount,DNS.qr,DNS.ra,DNS.rcode,DNS.rd,DNS.tc,DNS.z,Ether.dst,Ether.src,Ether.type,IP.chksum,IP.dst,IP.flags,IP.frag,IP.id,IP.ihl,IP.len,IP.options,IP.proto,IP.src,IP.tos,IP.ttl,IP.version,IPv4,TCP.ack,TCP.chksum,TCP.dataofs,TCP.dport,TCP.flags,TCP.options,TCP.reserved,TCP.seq,TCP.sport,TCP.urgptr,TCP.window,UDP.chksum,UDP.dport,UDP.len,UDP.sport,packet_len,timestamp
,,,,,,,,,,,,,,,,,,,,00:00:0a:00:01:02,00:00:0a:00:01:01,2048,28317,00:00:0a:00:01:02,DF,0,46620,5,60,,6,00:00:0a:00:01:01,0,64,4,,0,28317,10,5001,DF,,0,253145351,44576,0,37840,,,,,74,1742994106.282668
,,,,,,,,,,,,,,,,,,,,00:00:0a:00:01:02,00:00:0a:00:01:01,2048,28324,00:00:0a:00:01:02,DF,0,46621,5,52,,6,00:00:0a:00:01:01,0,64,4,,4257921053,28324,8,5001,DF,,0,253145352,44576,0,74,,,,,66,1742994106.288770
,,,,,,,,,,,,,,,,,,,,00:00:0a:00:01:02,00:00:0a:00:01:01,2048,28263,00:00:0a:00:01:02,DF,0,46622,5,112,,6,00:00:0a:00:01:01,0,64,4,,4257921053,28263,8,5001,DF,,0,253145352,44576,0,74,,,,,126,1742994106.292455
,,,,,,,,,,,,,,,,,,,,00:00:0a:00:01:02,00:00:0a:00:01:01,2048,18874,00:00:0a:00:01:02,DF,0,46623,5,9500,,6,00:00:0a:00:01:01,0,64,4,,4257921053,18874,8,5001,DF,,0,253145412,44576,0,74,,,,,9514,1742994106.293989
,,,,,,,,,,,,,,,,,,,,00:00:0a:00:01:02,00:00:0a:00:01:01,2048,18873,00:00:0a:00:01:02,DF,0,46624,5,9500,,6,00:00:0a:00:01:01,0,64,4,,4257921053,18873,8,5001,DF,,0,253154860,44576,0,74,,,,,9514,1742994106.293992
,,,,,,,,,,,,,,,,,,,,00:00:0a:00:01:02,00:00:0a:00:01:01,2048,18872,00:00:0a:00:01:02,DF,0,46625,5,9500,,6,00:00:0a:00:01:01,0,64,4,,4257921053,18872,8,5001,DF,,0,253164308,44576,0,74,,,,,9514,1742994106.294006
,,,,,,,,,,,,,,,,,,,,00:00:0a:00:01:02,00:00:0a:00:01:01,2048,18931,00:00:0a:00:01:02,DF,0,46626,5,9440,,6,00:00:0a:00:01:01,0,64,4,,4257921053,18931,8,5001,DF,,0,253173756,44576,0,74,,,,,9454,1742994106.294008
,,,,,,,,,,,,,,,,,,,,00:00:0a:00:01:02,00:00:0a:00:01:01,2048,18930,00:00:0a:00:01:02,DF,0,46627,5,9440,,6,00:00:0a:00:01:01,0,64,4,,4257921053,18930,8,5001,DF,,0,253173756,44576,0,74,,,,,9454,1742994106.311129
,,,,,,,,,,,,,,,,,,,,00:00:0a:00:01:02,00:00:0a:00:01:01,2048,28317,00:00:0a:00:01:02,DF,0,46628,5,52,,6,00:00:0a:00:01:01,0,64,4,,4257921081,28317,8,5001,DF,,0,253183144,44576,0,74,,,,,66,1742994106.427215
,,,,,,,,,,,,,,,,,,,,00:00:0a:00:01:02,00:00:0a:00:01:01,2048,18868,00:00:0a:00:01:02,DF,0,46629,5,9500,,6,00:00:0a:00:01:01,0,64,4,,4257921081,18868,8,5001,DF,,0,253183144,44576,0,74,,,,,9514,1742994106.427236
,,,,,,,,,,,,,,,,,,,,00:00:0a:00:01:02,00:00:0a:00:01:01,2048,18867,00:00:0a:00:01:02,DF,0,46630,5,9500,,6,00:00:0a:00:01:01,0,64,4,,4257921081,18867,8,5001,DF,,0,253192592,44576,0,74,,,,,9514,1742994106.427238
,,,,,,,,,,,,,,,,,,,,00:00:0a:00:01:02,00:00:0a:00:01:01,2048,18866,00:00:0a:00:01:02,DF,0,46631,5,9500,,6,00:00:0a:00:01:01,0,64,4,,4257921081,18866,8,5001,DF,,0,253202040,44576,0,74,,,,,9514,1742994106.439830
,,,,,,,,,,,,,,,,,,,,00:00:0a:00:01:02,00:00:0a:00:01:01,2048,18865,00:00:0a:00:01:02,DF,0,46632,5,9500,,6,00:00:0a:00:01:01,0,64,4,,4257921081,18865,8,5001,DF,,0,253211488,44576,0,74,,,,,9514,1742994106.439832
,,,,,,,,,,,,,,,,,,,,00:00:0a:00:01:02,00:00:0a:00:01:01,2048,18864,00:00:0a:00:01:02,DF,0,46633,5,9500,,6,00:00:0a:00:01:01,0,64,4,,4257921081,18864,8,5001,DF,,0,253220936,44576,0,74,,,,,9514,1742994106.441692
,,,,,,,,,,,,,,,,,,,,00:00:0a:00:01:02,00:00:0a:00:01:01,2048,22303,00:00:0a:00:01:02,DF,0,46634,5,6060,,6,00:00:0a:00:01:01,0,64,4,,4257921081,22303,8,5001,DF,,0,253230384,44576,0,74,,,,,6074,1742994106.441695
,,,,,,,,,,,,,,,,,,,,00:00:0a:00:01:02,00:00:0a:00:01:01,2048,18862,00:00:0a:00:01:02,DF,0,46635,5,9500,,6,00:00:0a:00:01:01,0,64,4,,4257921081,18862,8,5001,DF,,0,253236392,44576,0,74,,,,,9514,1742994106.482270
,,,,,,,,,,,,,,,,,,,,00:00:0a:00:01:02,00:00:0a:00:01:01,2048,18861,00:00:0a:00:01:02,DF,0,46636,5,9500,,6,00:00:0a:00:01:01,0,64,4,,4257921081,18861,8,5001,DF,,0,253245840,44576,0,74,,,,,9514,1742994106.486833
,,,,,,,,,,,,,,,,,,,,00:00:0a:00:01:02,00:00:0a:00:01:01,2048,18860,00:00:0a:00:01:02,DF,0,46637,5,9500,,6,00:00:0a:00:01:01,0,64,4,,4257921081,18860,8,5001,DF,,0,253255288,44576,0,74,,,,,9514,1742994106.486836
,,,,,,,,,,,,,,,,,,,,00:00:0a:00:01:02,00:00:0a:00:01:01,2048,18859,00:00:0a:00:01:02,DF,0,46638,5,9500,,6,00:00:0a:00:01:01,0,64,4,,4257921081,18859,8,5001,DF,,0,253264736,44576,0,74,,,,,9514,1742994106.486856
,,,,,,,,,,,,,,,,,,,,00:00:0a:00:01:02,00:00:0a:00:01:01,2048,25914,00:00:0a:00:01:02,DF,0,46639,5,2444,,6,00:00:0a:00:01:01,0,64,4,,4257921081,25914,8,5001,DF,,0,253274184,44576,0,74,,,,,2458,1742994106.529131
,,,,,,,,,,,,,,,,,,,,00:00:0a:00:01:02,00:00:0a:00:01:01,2048,18857,00:00:0a:00:01:02,DF,0,46640,5,9500,,6,00:00:0a:00:01:01,0,64,4,,4257921081,18857,8,5001,DF,,0,253276576,44576,0,74,,,,,9514,1742994107.294933
,,,,,,,,,,,,,,,,,,,,00:00:0a:00:01:02,00:00:0a:00:01:01,2048,18856,00:00:0a:00:01:02,DF,0,46641,5,9500,,6,00:00:0a:00:01:01,0,64,4,,4257921081,18856,8,5001,DF,,0,253286024,44576,0,74,,,,,9514,1742994107.295186
,,,,,,,,,,,,,,,,,,,,00:00:0a:00:01:02,00:00:0a:00:01:01,2048,18855,00:00:0a:00:01:02,DF,0,46642,5,9500,,6,00:00:0a:00:01:01,0,64,4,,4257921081,18855,8,5001,DF,,0,253295472,44576,0,74,,,,,9514,1742994107.295233
,,,,,,,,,,,,,,,,,,,,00:00:0a:00:01:02,00:00:0a:00:01:01,2048,18854,00:00:0a:00:01:02,DF,0,46643,5,9500,,6,00:00:0a:00:01:01,0,64,4,,4257921081,18854,8,5001,DF,,0,253304920,44576,0,74,,,,,9514,1742994107.295237
,,,,,,,,,,,,,,,,,,,,00:00:0a:00:01:02,00:00:0a:00:01:01,2048,18853,00:00:0a:00:01:02,DF,0,46644,5,9500,,6,00:00:0a:00:01:01,0,64,4,,4257921081,18853,8,5001,DF,,0,253314368,44576,0,74,,,,,9514,1742994107.295255
,,,,,,,,,,,,,,,,,,,,00:00:0a:00:01:02,00:00:0a:00:01:01,2048,18852,00:00:0a:00:01:02,DF,0,46645,5,9500,,6,00:00:0a:00:01:01,0,64,4,,4257921081,18852,8,5001,DF,,0,253323816,44576,0,74,,,,,9514,1742994107.295259
,,,,,,,,,,,,,,,,,,,,00:00:0a:00:01:02,00:00:0a:00:01:01,2048,18851,00:00:0a:00:01:02,DF,0,46646,5,9500,,6,00:00:0a:00:01:01,0,64,4,,4257921081,18851,8,5001,DF,,0,253333264,44576,0,74,,,,,9514,1742994107.296103
,,,,,,,,,,,,,,,,,,,,00:00:0a:00:01:02,00:00:0a:00:01:01,2048,18850,00:00:0a:00:01:02,DF,0,46647,5,9500,,6,00:00:0a:00:01:01,0,64,4,,4257921081,18850,8,5001,DF,,0,253342712,44576,0,74,,,,,9514,1742994107.296111
,,,,,,,,,,,,,,,,,,,,00:00:0a:00:01:02,00:00:0a:00:01:01,2048,18849,00:00:0a:00:01:02,DF,0,46648,5,9500,,6,00:00:0a:00:01:01,0,64,4,,4257921081,18849,8,5001,DF,,0,253352160,44576,0,74,,,,,9514,1742994107.296153
,,,,,,,,,,,,,,,,,,,,00:00:0a:00:01:02,00:00:0a:00:01:01,2048,18848,00:00:0a:00:01:02,DF,0,46649,5,9500,,6,00:00:0a:00:01:01,0,64,4,,4257921081,18848,8,5001,DF,,0,253361608,44576,0,74,,,,,9514,1742994107.296158
,,,,,,,,,,,,,,,,,,,,00:00:0a:00:01:02,00:00:0a:00:01:01,2048,18847,00:00:0a:00:01:02,DF,0,46650,5,9500,,6,00:00:0a:00:01:01,0,64,4,,4257921081,18847,8,5001,DF,,0,253371056,44576,0,74,,,,,9514,1742994107.325418
,,,,,,,,,,,,,,,,,,,,00:00:0a:00:01:02,00:00:0a:00:01:01,2048,18846,00:00:0a:00:01:02,DF,0,46651,5,9500,,6,00:00:0a:00:01:01,0,64,4,,4257921081,18846,8,5001,DF,,0,253380504,44576,0,74,,,,,9514,1742994107.325422
,,,,,,,,,,,,,,,,,,,,00:00:0a:00:01:02,00:00:0a:00:01:01,2048,18845,00:00:0a:00:01:02,DF,0,46652,5,9500,,6,00:00:0a:00:01:01,0,64,4,,4257921081,18845,8,5001,DF,,0,253389952,44576,0,74,,,,,9514,1742994107.325462
,,,,,,,,,,,,,,,,,,,,00:00:0a:00:01:02,00:00:0a:00:01:01,2048,20136,00:00:0a:00:01:02,DF,0,46653,5,8208,,6,00:00:0a:00:01:01,0,64,4,,4257921081,20136,8,5001,DF,,0,253399400,44576,0,74,,,,,8222,1742994107.325464
,,,,,,,,,,,,,,,,,,,,00:00:0a:00:01:02,00:00:0a:00:01:01,2048,18843,00:00:0a:00:01:02,DF,0,46654,5,9500,,6,00:00:0a:00:01:01,0,64,4,,4257921081,18843,8,5001,DF,,0,253407556,44576,0,74,,,,,9514,1742994108.294560
,,,,,,,,,,,,,,,,,,,,00:00:0a:00:01:02,00:00:0a:00:01:01,2048,18842,00:00:0a:00:01:02,DF,0,46655,5,9500,,6,00:00:0a:00:01:01,0,64,4,,4257921081,18842,8,5001,DF,,0,253417004,44576,0,74,,,,,9514,1742994108.294632
,,,,,,,,,,,,,,,,,,,,00:00:0a:00:01:02,00:00:0a:00:01:01,2048,18841,00:00:0a:00:01:02,DF,0,46656,5,9500,,6,00:00:0a:00:01:01,0,64,4,,4257921081,18841,8,5001,DF,,0,253426452,44576,0,74,,,,,9514,1742994108.294726
,,,,,,,,,,,,,,,,,,,,00:00:0a:00:01:02,00:00:0a:00:01:01,2048,18840,00:00:0a:00:01:02,DF,0,46657,5,9500,,6,00:00:0a:00:01:01,0,64,4,,4257921081,18840,8,5001,DF,,0,253435900,44576,0,74,,,,,9514,1742994108.294729
